dataset,protocol,target_batch,model_name,split_type,n_train,n_val,n_test,macro_f1,macro_f1_present,accuracy,balanced_accuracy,late_early_bucket,notes
uci270,A_cold_batch_transfer,2,hgb,exploratory,356,89,1244,0.5973267915875533,0.5973267915875533,0.7805466237942122,0.6270244089118663,early,Protocol A cold-start; confirmatory SVM-family models use fixed preregistered params (no inner tuning)
uci270,A_cold_batch_transfer,3,hgb,exploratory,356,89,1586,0.4546106346311314,0.5455327615573576,0.692938209331652,0.5853040450163738,early,Protocol A cold-start; confirmatory SVM-family models use fixed preregistered params (no inner tuning)
uci270,A_cold_batch_transfer,4,hgb,exploratory,356,89,161,0.45909090909090916,0.550909090909091,0.7204968944099379,0.5890988372093023,early,Protocol A cold-start; confirmatory SVM-family models use fixed preregistered params (no inner tuning)
uci270,A_cold_batch_transfer,5,hgb,exploratory,356,89,197,0.19511378848728245,0.23413654618473895,0.34517766497461927,0.4,mid,Protocol A cold-start; confirmatory SVM-family models use fixed preregistered params (no inner tuning)
uci270,A_cold_batch_transfer,6,hgb,exploratory,356,89,2300,0.2879588303593435,0.2879588303593435,0.48130434782608694,0.40740460229403946,mid,Protocol A cold-start; confirmatory SVM-family models use fixed preregistered params (no inner tuning)
uci270,A_cold_batch_transfer,7,hgb,exploratory,356,89,3613,0.281981077758687,0.281981077758687,0.39164129532244674,0.40958508265270005,mid,Protocol A cold-start; confirmatory SVM-family models use fixed preregistered params (no inner tuning)
uci270,A_cold_batch_transfer,8,hgb,exploratory,356,89,294,0.2322816114699957,0.2322816114699957,0.2619047619047619,0.39305555555555555,late,Protocol A cold-start; confirmatory SVM-family models use fixed preregistered params (no inner tuning)
uci270,A_cold_batch_transfer,9,hgb,exploratory,356,89,470,0.298241341991342,0.298241341991342,0.4,0.4151515151515152,late,Protocol A cold-start; confirmatory SVM-family models use fixed preregistered params (no inner tuning)
uci270,A_cold_batch_transfer,10,hgb,exploratory,356,89,3600,0.252816529350018,0.252816529350018,0.30583333333333335,0.3058333333333333,late,Protocol A cold-start; confirmatory SVM-family models use fixed preregistered params (no inner tuning)
uci270,B_rolling_update,2,ss_svm_rbf,confirmatory,445,0,1244,0.5358945815379147,0.5358945815379147,0.6519292604501608,0.5866662139374791,early,train=batches<target; validation=confirmatory_fixed_params_all_targets_no_batchsafe_val_batch2
uci270,B_rolling_update,3,ss_svm_rbf,confirmatory,445,1244,1586,0.32049198290027925,0.3845903794803351,0.5176544766708702,0.4102019985522921,early,train=batches<target; validation=holdout_latest_train_batch_2;confirmatory_fixed_params_inner_val_unused
uci270,B_rolling_update,4,ss_svm_rbf,confirmatory,1689,1586,161,0.7447848045674132,0.8937417654808959,0.8633540372670807,0.8811191860465115,early,train=batches<target; validation=holdout_latest_train_batch_3;confirmatory_fixed_params_inner_val_unused
uci270,B_rolling_update,5,ss_svm_rbf,confirmatory,3275,161,197,0.7954698741955131,0.9545638490346157,0.9543147208121827,0.9566666666666667,mid,train=batches<target; validation=holdout_latest_train_batch_4;confirmatory_fixed_params_inner_val_unused
uci270,B_rolling_update,6,ss_svm_rbf,confirmatory,3436,197,2300,0.6281402166547619,0.6281402166547619,0.6978260869565217,0.7571087320638407,mid,train=batches<target; validation=holdout_latest_train_batch_5;confirmatory_fixed_params_inner_val_unused
uci270,B_rolling_update,7,ss_svm_rbf,confirmatory,3633,2300,3613,0.6935017336899693,0.6935017336899693,0.741489067257127,0.7380670430403127,mid,train=batches<target; validation=holdout_latest_train_batch_6;confirmatory_fixed_params_inner_val_unused
uci270,B_rolling_update,8,ss_svm_rbf,confirmatory,5933,3613,294,0.8631237513483142,0.8631237513483142,0.8945578231292517,0.8423076923076923,late,train=batches<target; validation=holdout_latest_train_batch_7;confirmatory_fixed_params_inner_val_unused
uci270,B_rolling_update,9,ss_svm_rbf,confirmatory,9546,294,470,0.7408430879600303,0.7408430879600303,0.7638297872340426,0.8111139134089954,late,train=batches<target; validation=holdout_latest_train_batch_8;confirmatory_fixed_params_inner_val_unused
uci270,B_rolling_update,10,ss_svm_rbf,confirmatory,9840,470,3600,0.73353817984597,0.73353817984597,0.7330555555555556,0.7330555555555556,late,train=batches<target; validation=holdout_latest_train_batch_9;confirmatory_fixed_params_inner_val_unused
uci270,B_rolling_update,2,routear_combined_svm,exploratory,445,0,1244,0.7429364401356997,0.7429364401356997,0.8866559485530546,0.7774705762380018,early,train=batches<target; validation=no_inner_tuning_single_train_batch
uci270,B_rolling_update,3,routear_combined_svm,exploratory,445,1244,1586,0.7956421901327113,0.9547706281592536,0.9577553593947037,0.9599892560871034,early,train=batches<target; validation=holdout_latest_train_batch_2
uci270,B_rolling_update,4,routear_combined_svm,exploratory,1689,1586,161,0.7524583306983179,0.9029499968379815,0.8695652173913043,0.8913275193798448,early,train=batches<target; validation=holdout_latest_train_batch_3
uci270,B_rolling_update,5,routear_combined_svm,exploratory,3275,161,197,0.8203437377563013,0.9844124853075616,0.9847715736040609,0.9836507936507937,mid,train=batches<target; validation=holdout_latest_train_batch_4
uci270,B_rolling_update,6,routear_combined_svm,exploratory,3436,197,2300,0.660391654377518,0.660391654377518,0.7547826086956522,0.794104098041144,mid,train=batches<target; validation=holdout_latest_train_batch_5
uci270,B_rolling_update,7,routear_combined_svm,exploratory,3633,2300,3613,0.9226594317312199,0.9226594317312199,0.9202878494326044,0.9217155853579356,mid,train=batches<target; validation=holdout_latest_train_batch_6
uci270,B_rolling_update,8,routear_combined_svm,exploratory,5933,3613,294,0.8856873395306778,0.8856873395306778,0.9115646258503401,0.8947131572131574,late,train=batches<target; validation=holdout_latest_train_batch_7
uci270,B_rolling_update,9,routear_combined_svm,exploratory,9546,294,470,0.7365598396883151,0.7365598396883151,0.7659574468085106,0.8138461538461539,late,train=batches<target; validation=holdout_latest_train_batch_8
uci270,B_rolling_update,10,routear_combined_svm,exploratory,9840,470,3600,0.6553923414655923,0.6553923414655923,0.6472222222222223,0.6472222222222223,late,train=batches<target; validation=holdout_latest_train_batch_9
uci270,B_rolling_update,2,routear_combined_svm_noscaler,exploratory,445,0,1244,0.517575380215939,0.517575380215939,0.4734726688102894,0.551787201317153,early,train=batches<target; validation=no_inner_tuning_single_train_batch
uci270,B_rolling_update,3,routear_combined_svm_noscaler,exploratory,445,1244,1586,0.7890129636600771,0.9468155563920926,0.9514501891551072,0.9517533785342005,early,train=batches<target; validation=holdout_latest_train_batch_2
uci270,B_rolling_update,4,routear_combined_svm_noscaler,exploratory,1689,1586,161,0.7244729907773385,0.8693675889328063,0.8757763975155279,0.91625,early,train=batches<target; validation=holdout_latest_train_batch_3
uci270,B_rolling_update,5,routear_combined_svm_noscaler,exploratory,3275,161,197,0.8140913276098045,0.9769095931317654,0.9796954314720813,0.9736507936507935,mid,train=batches<target; validation=holdout_latest_train_batch_4
uci270,B_rolling_update,6,routear_combined_svm_noscaler,exploratory,3436,197,2300,0.6078262529948828,0.6078262529948828,0.7321739130434782,0.7680071186087768,mid,train=batches<target; validation=holdout_latest_train_batch_5
uci270,B_rolling_update,7,routear_combined_svm_noscaler,exploratory,3633,2300,3613,0.8310574362584887,0.8310574362584887,0.8397453639634652,0.8533916161244649,mid,train=batches<target; validation=holdout_latest_train_batch_6
uci270,B_rolling_update,8,routear_combined_svm_noscaler,exploratory,5933,3613,294,0.9158374874046157,0.9158374874046157,0.9319727891156463,0.9146432271432272,late,train=batches<target; validation=holdout_latest_train_batch_7
uci270,B_rolling_update,9,routear_combined_svm_noscaler,exploratory,9546,294,470,0.750280738665348,0.750280738665348,0.7659574468085106,0.813931623931624,late,train=batches<target; validation=holdout_latest_train_batch_8
uci270,B_rolling_update,10,routear_combined_svm_noscaler,exploratory,9840,470,3600,0.7219027857722459,0.7219027857722459,0.7205555555555555,0.7205555555555555,late,train=batches<target; validation=holdout_latest_train_batch_9
