config_label,boundary_id,low_upper_mg_L,mid_upper_mg_L,model_name,params_json,fit_status,error_message,validation_design,cv_accuracy,cv_balanced_accuracy,cv_macro_f1,cv_low_precision,cv_low_recall,cv_low_f1,cv_low_support,cv_mid_precision,cv_mid_recall,cv_mid_f1,cv_mid_support,cv_high_precision,cv_high_recall,cv_high_f1,cv_high_support,cv_n_errors
low_le_0.5__mid_le_25__LogisticRegression__002,low_le_0.5__mid_le_25,0.5,25.0,LogisticRegression,"{""model__C"": 0.1}",ok,,LeaveOneConcentrationOut on standard concentration labels; boundary search uses standard set only,0.6153846153846154,0.5714285714285715,0.6,0.3333333333333333,0.3333333333333333,0.3333333333333333,30.0,0.625,0.7142857142857143,0.6666666666666666,70.0,1.0,0.6666666666666666,0.8,30.0,50
low_le_0.5__mid_le_25__LogisticRegression__003,low_le_0.5__mid_le_25,0.5,25.0,LogisticRegression,"{""model__C"": 1.0}",ok,,LeaveOneConcentrationOut on standard concentration labels; boundary search uses standard set only,0.7384615384615385,0.7492063492063492,0.7434930610107359,0.5652173913043478,0.8666666666666667,0.6842105263157895,30.0,0.78125,0.7142857142857143,0.746268656716418,70.0,1.0,0.6666666666666666,0.8,30.0,34
low_le_0.5__mid_le_25__SVC_RBF__004,low_le_0.5__mid_le_25,0.5,25.0,SVC_RBF,"{""model__C"": 1.0}",ok,,LeaveOneConcentrationOut on standard concentration labels; boundary search uses standard set only,0.5384615384615384,0.4603174603174603,0.4305555555555555,0.0,0.0,0.0,30.0,0.5555555555555556,0.7142857142857143,0.625,70.0,0.6666666666666666,0.6666666666666666,0.6666666666666666,30.0,60
low_le_0.5__mid_le_25__SVC_RBF__005,low_le_0.5__mid_le_25,0.5,25.0,SVC_RBF,"{""model__C"": 10.0}",ok,,LeaveOneConcentrationOut on standard concentration labels; boundary search uses standard set only,0.4615384615384615,0.4761904761904762,0.4713064713064712,0.25,0.3333333333333333,0.2857142857142857,30.0,0.5,0.4285714285714285,0.4615384615384615,70.0,0.6666666666666666,0.6666666666666666,0.6666666666666666,30.0,70
low_le_0.5__mid_le_25__KNeighborsClassifier__006,low_le_0.5__mid_le_25,0.5,25.0,KNeighborsClassifier,"{""model__n_neighbors"": 1}",ok,,LeaveOneConcentrationOut on standard concentration labels; boundary search uses standard set only,0.5461538461538461,0.5984126984126984,0.563128955285818,0.4117647058823529,0.7,0.5185185185185185,30.0,0.6122448979591837,0.4285714285714285,0.5042016806722689,70.0,0.6666666666666666,0.6666666666666666,0.6666666666666666,30.0,59
low_le_0.5__mid_le_25__KNeighborsClassifier__007,low_le_0.5__mid_le_25,0.5,25.0,KNeighborsClassifier,"{""model__n_neighbors"": 3}",ok,,LeaveOneConcentrationOut on standard concentration labels; boundary search uses standard set only,0.5307692307692308,0.5761904761904761,0.5478490311631853,0.3877551020408163,0.6333333333333333,0.4810126582278481,30.0,0.5882352941176471,0.4285714285714285,0.4958677685950413,70.0,0.6666666666666666,0.6666666666666666,0.6666666666666666,30.0,61
low_le_0.5__mid_le_25__RandomForestClassifier__008,low_le_0.5__mid_le_25,0.5,25.0,RandomForestClassifier,"{""model__min_samples_leaf"": 1, ""model__n_estimators"": 160}",ok,,LeaveOneConcentrationOut on standard concentration labels; boundary search uses standard set only,0.7,0.7507936507936508,0.7018840173693794,0.6,1.0,0.75,30.0,0.803921568627451,0.5857142857142857,0.6776859504132231,70.0,0.6896551724137931,0.6666666666666666,0.6779661016949152,30.0,39
low_le_0.5__mid_le_25__GradientBoostingClassifier__009,low_le_0.5__mid_le_25,0.5,25.0,GradientBoostingClassifier,"{""model__learning_rate"": 0.05, ""model__max_depth"": 2, ""model__n_estimators"": 100}",ok,,LeaveOneConcentrationOut on standard concentration labels; boundary search uses standard set only,0.6538461538461539,0.6904761904761904,0.6577777777777777,0.5555555555555556,0.8333333333333334,0.6666666666666666,30.0,0.7272727272727273,0.5714285714285714,0.64,70.0,0.6666666666666666,0.6666666666666666,0.6666666666666666,30.0,45
low_le_0.7__mid_le_5__PLSDA__000,low_le_0.7__mid_le_5,0.7,5.0,PLSDA,"{""model__n_components"": 2}",ok,,LeaveOneConcentrationOut on standard concentration labels; boundary search uses standard set only,0.7461538461538462,0.65,0.5692668371696504,0.7692307692307693,1.0,0.8695652173913043,40.0,0.0,0.0,0.0,30.0,0.75,0.95,0.8382352941176471,60.0,33
low_le_0.7__mid_le_5__PLSDA__001,low_le_0.7__mid_le_5,0.7,5.0,PLSDA,"{""model__n_components"": 5}",ok,,LeaveOneConcentrationOut on standard concentration labels; boundary search uses standard set only,0.3846153846153846,0.3611111111111111,0.3481481481481481,0.5,0.75,0.6,40.0,0.0,0.0,0.0,30.0,0.6666666666666666,0.3333333333333333,0.4444444444444444,60.0,80
low_le_0.7__mid_le_5__LogisticRegression__002,low_le_0.7__mid_le_5,0.7,5.0,LogisticRegression,"{""model__C"": 0.1}",ok,,LeaveOneConcentrationOut on standard concentration labels; boundary search uses standard set only,0.7692307692307693,0.75,0.7435064935064934,0.75,0.75,0.75,40.0,0.5,0.6666666666666666,0.5714285714285714,30.0,1.0,0.8333333333333334,0.9090909090909092,60.0,30
low_le_0.7__mid_le_5__LogisticRegression__003,low_le_0.7__mid_le_5,0.7,5.0,LogisticRegression,"{""model__C"": 1.0}",ok,,LeaveOneConcentrationOut on standard concentration labels; boundary search uses standard set only,0.7615384615384615,0.7388888888888889,0.7335187625042697,0.7317073170731707,0.75,0.7407407407407407,40.0,0.4871794871794871,0.6333333333333333,0.5507246376811594,30.0,1.0,0.8333333333333334,0.9090909090909092,60.0,31
low_le_0.7__mid_le_5__SVC_RBF__004,low_le_0.7__mid_le_5,0.7,5.0,SVC_RBF,"{""model__C"": 1.0}",ok,,LeaveOneConcentrationOut on standard concentration labels; boundary search uses standard set only,0.7538461538461538,0.7777777777777778,0.753717627401838,0.8888888888888888,0.8,0.8421052631578947,40.0,0.4814814814814814,0.8666666666666667,0.6190476190476191,30.0,1.0,0.6666666666666666,0.8,60.0,32
low_le_0.7__mid_le_5__SVC_RBF__005,low_le_0.7__mid_le_5,0.7,5.0,SVC_RBF,"{""model__C"": 10.0}",ok,,LeaveOneConcentrationOut on standard concentration labels; boundary search uses standard set only,0.6538461538461539,0.5805555555555556,0.5647770143541125,0.6078431372549019,0.775,0.6813186813186813,40.0,0.1739130434782608,0.1333333333333333,0.1509433962264151,30.0,0.8928571428571429,0.8333333333333334,0.8620689655172413,60.0,45
low_le_0.7__mid_le_5__KNeighborsClassifier__006,low_le_0.7__mid_le_5,0.7,5.0,KNeighborsClassifier,"{""model__n_neighbors"": 1}",ok,,LeaveOneConcentrationOut on standard concentration labels; boundary search uses standard set only,0.6307692307692307,0.5444444444444444,0.5096618357487923,0.6153846153846154,0.8,0.6956521739130435,40.0,0.0,0.0,0.0,30.0,0.8333333333333334,0.8333333333333334,0.8333333333333334,60.0,48
low_le_0.7__mid_le_5__KNeighborsClassifier__007,low_le_0.7__mid_le_5,0.7,5.0,KNeighborsClassifier,"{""model__n_neighbors"": 3}",ok,,LeaveOneConcentrationOut on standard concentration labels; boundary search uses standard set only,0.6230769230769231,0.538888888888889,0.5154061624649859,0.6,0.75,0.6666666666666666,40.0,0.0476190476190476,0.0333333333333333,0.0392156862745098,30.0,0.847457627118644,0.8333333333333334,0.8403361344537815,60.0,49
low_le_0.7__mid_le_5__RandomForestClassifier__008,low_le_0.7__mid_le_5,0.7,5.0,RandomForestClassifier,"{""model__min_samples_leaf"": 1, ""model__n_estimators"": 160}",ok,,LeaveOneConcentrationOut on standard concentration labels; boundary search uses standard set only,0.8538461538461538,0.8666666666666667,0.8476788476788477,1.0,0.8,0.8888888888888888,40.0,0.6170212765957447,0.9666666666666668,0.7532467532467533,30.0,0.9803921568627452,0.8333333333333334,0.9009009009009008,60.0,19
low_le_0.7__mid_le_5__GradientBoostingClassifier__009,low_le_0.7__mid_le_5,0.7,5.0,GradientBoostingClassifier,"{""model__learning_rate"": 0.05, ""model__max_depth"": 2, ""model__n_estimators"": 100}",ok,,LeaveOneConcentrationOut on standard concentration labels; boundary search uses standard set only,0.8461538461538461,0.8055555555555555,0.8055555555555555,0.75,0.75,0.75,40.0,0.6666666666666666,0.6666666666666666,0.6666666666666666,30.0,1.0,1.0,1.0,60.0,20
